registration,test_date,expiry_date,test_result,odometer_value,odometer_unit,test_number,has_failures,has_advisories
AB12CDE,2025-05-28,2026-06-11,PASSED,38256,MI,399065147408,false,true
AB12CDE,2024-05-28,2025-06-11,PASSED,32841,MI,983820895402,false,false
AB12CDE,2023-06-01,2024-06-11,PASSED,27438,MI,570648374309,false,false
AB12CDE,2023-05-31,,FAILED,27437,MI,392258198333,true,false
AB12CDE,2022-06-01,2023-06-11,PASSED,23117,MI,348757690490,false,false
AB12CDE,2021-06-01,2022-06-11,PASSED,18457,MI,944015842085,false,false
AB12CDE,2020-06-12,2021-06-11,PASSED,15191,MI,738147580681,false,false
AB12CDE,2020-06-11,2020-12-18,PASSED,,MI,405511442202,false,true
